"Year","LGA","Contamination_rate"
"2008","Buloke",7.83
"2008","Campaspe",9.49
"2008","Cardinia",12.6
"2008","Casey",8.3
"2008","Central Goldfields",8.64
"2008","Colac Otway",4.77
"2008","Corangamite",7.01
"2008","Darebin",13.23
"2008","East Gippsland",19.37
"2008","Frankston",9.55
"2008","Gannawarra",9.09
"2008","Glen Eira",5
"2008","Glenelg",33.03
"2008","Golden Plains",7.5
"2008","Greater Bendigo",9.72
"2008","Greater Dandenong",10
"2008","Greater Geelong",7.51
"2008","Greater Shepparton",9.79
"2008","Hepburn",17.21
"2008","Hindmarsh",11.44
"2008","Hobsons Bay",3.1
"2008","Horsham",13.1
"2008","Hume",14.62
"2008","Indigo",2.61
"2008","Kingston",6.7
"2008","Knox",4.63
"2008","Latrobe",15.2
"2008","Loddon",7.38
"2008","Macedon Ranges",10
"2008","Manningham",19.39
"2008","Mansfield",11.46
"2008","Maribyrnong",17.96
"2008","Maroondah",5
"2008","Melbourne",8.71
"2008","Melton",2.12
"2008","Mildura",30.38
"2008","Mitchell",9.4
"2008","Moira",10.06
"2008","Monash",9.9
"2008","Moonee Valley",11.7
"2008","Moorabool",4.69
"2008","Moreland",19.3
"2008","Mornington Peninsula",10
"2008","Mount Alexander",5
"2008","Moyne",6.57
"2008","Murrindindi",5.99
"2008","Nillumbik",8
"2008","Northern Grampians",38
"2008","Port Phillip",6
"2008","Pyrenees",30.84
"2008","Queenscliffe",7.5
"2008","South Gippsland",8
"2008","Southern Grampians",5.84
"2008","Stonnington",3.43
"2008","Strathbogie",9.86
"2008","Surf Coast",7.52
"2008","Swan Hill",11.34
"2008","Towong",11.23
"2008","Wangaratta",12.64
"2008","Warrnambool",10.9
"2008","Wellington",21.15
"2008","West Wimmera",5.23
"2008","Whitehorse",8.4
"2008","Whittlesea",12.13
"2008","Wodonga",11.5
"2008","Wyndham",3
"2008","Yarra",4.74
"2008","Yarra Ranges",21.08
"2008","Yarriambiack",2.12
"2009","Alpine",26
"2009","Ararat",12.65
"2009","Ballarat",7.01
"2009","Banyule",8.55
"2009","Bass Coast",20.01
"2009","Baw Baw",10.3
"2009","Bayside",2.99
"2009","Benalla",8.99
"2009","Boroondara",2.37
"2009","Brimbank",15.2
"2009","Buloke",7.66
"2009","Campaspe",10.15
"2009","Cardinia",12.6
"2009","Casey",7.93
"2009","Central Goldfields",5
"2009","Colac Otway",5.27
"2009","Corangamite",9.9
"2009","Darebin",17.47
"2009","East Gippsland",25.42
"2009","Frankston",9.75
"2009","Gannawarra",9
"2009","Glen Eira",4.75
